time,.x,.y,.z,.w
2023/07/21/15:09:16.836807,-0.041259765625,0.04266357421875,-0.04345703125,0.997314453125
2023/07/21/15:09:16.846603,-0.0413818359375,0.0426025390625,-0.04345703125,0.997314453125
2023/07/21/15:09:16.856167,-0.04144287109375,0.04254150390625,-0.0435791015625,0.99725341796875
2023/07/21/15:09:16.867189,-0.04144287109375,0.04248046875,-0.04376220703125,0.99725341796875
2023/07/21/15:09:16.876963,-0.04132080078125,0.04241943359375,-0.04388427734375,0.99725341796875
2023/07/21/15:09:16.887080,-0.04119873046875,0.0423583984375,-0.0440673828125,0.99725341796875
2023/07/21/15:09:16.896554,-0.04107666015625,0.042236328125,-0.044189453125,0.99725341796875
2023/07/21/15:09:16.906650,-0.041015625,0.0421142578125,-0.0443115234375,0.997314453125
2023/07/21/15:09:16.916446,-0.0408935546875,0.0419921875,-0.04437255859375,0.997314453125
2023/07/21/15:09:16.926528,-0.0408935546875,0.04180908203125,-0.04443359375,0.997314453125
2023/07/21/15:09:16.936670,-0.0408935546875,0.04168701171875,-0.0445556640625,0.997314453125
2023/07/21/15:09:16.946480,-0.0408935546875,0.04150390625,-0.04461669921875,0.997314453125
2023/07/21/15:09:16.956604,-0.040771484375,0.0413818359375,-0.044677734375,0.997314453125
2023/07/21/15:09:16.966670,-0.04058837890625,0.041259765625,-0.04473876953125,0.997314453125
2023/07/21/15:09:16.976798,-0.040283203125,0.0411376953125,-0.04473876953125,0.997314453125
2023/07/21/15:09:16.987105,-0.03997802734375,0.04095458984375,-0.04473876953125,0.99737548828125
2023/07/21/15:09:16.997316,-0.0396728515625,0.040771484375,-0.04473876953125,0.99737548828125
2023/07/21/15:09:17.006190,-0.0394287109375,0.0406494140625,-0.0447998046875,0.99737548828125
2023/07/21/15:09:17.017393,-0.039306640625,0.04052734375,-0.04486083984375,0.99737548828125
2023/07/21/15:09:17.027102,-0.03924560546875,0.04052734375,-0.044921875,0.99737548828125
2023/07/21/15:09:17.036888,-0.03924560546875,0.04052734375,-0.04498291015625,0.99737548828125
2023/07/21/15:09:17.047054,-0.0391845703125,0.04058837890625,-0.04510498046875,0.99737548828125
2023/07/21/15:09:17.056594,-0.0390625,0.0406494140625,-0.045166015625,0.99737548828125
2023/07/21/15:09:17.068177,-0.03900146484375,0.04058837890625,-0.04522705078125,0.99737548828125
2023/07/21/15:09:17.077146,-0.0389404296875,0.04046630859375,-0.0452880859375,0.99737548828125
2023/07/21/15:09:17.087085,-0.038818359375,0.04022216796875,-0.04534912109375,0.99737548828125
2023/07/21/15:09:17.097160,-0.0386962890625,0.0399169921875,-0.04541015625,0.9974365234375
2023/07/21/15:09:17.107158,-0.03851318359375,0.03961181640625,-0.0455322265625,0.9974365234375
2023/07/21/15:09:17.116925,-0.038330078125,0.039306640625,-0.04571533203125,0.9974365234375
2023/07/21/15:09:17.125772,-0.03814697265625,0.0390625,-0.04583740234375,0.9974365234375
2023/07/21/15:09:17.136953,-0.0380859375,0.038818359375,-0.04595947265625,0.9974365234375
2023/07/21/15:09:17.147345,-0.03802490234375,0.03857421875,-0.0460205078125,0.99749755859375
2023/07/21/15:09:17.156291,-0.0380859375,0.038330078125,-0.04608154296875,0.99749755859375
2023/07/21/15:09:17.166406,-0.0382080078125,0.03814697265625,-0.04608154296875,0.99749755859375
2023/07/21/15:09:17.177913,-0.0384521484375,0.0380859375,-0.046142578125,0.99749755859375
2023/07/21/15:09:17.187340,-0.0386962890625,0.0380859375,-0.046142578125,0.9974365234375
2023/07/21/15:09:17.197375,-0.03887939453125,0.03826904296875,-0.046142578125,0.9974365234375
2023/07/21/15:09:17.206848,-0.0389404296875,0.0384521484375,-0.04620361328125,0.9974365234375
2023/07/21/15:09:17.217734,-0.03900146484375,0.03875732421875,-0.0462646484375,0.9974365234375
2023/07/21/15:09:17.227301,-0.0389404296875,0.0389404296875,-0.04638671875,0.99737548828125
2023/07/21/15:09:17.236165,-0.03875732421875,0.03912353515625,-0.04644775390625,0.99737548828125
2023/07/21/15:09:17.246953,-0.0384521484375,0.0391845703125,-0.04656982421875,0.99737548828125
2023/07/21/15:09:17.257586,-0.0380859375,0.0391845703125,-0.0467529296875,0.9974365234375
2023/07/21/15:09:17.266271,-0.03778076171875,0.0391845703125,-0.046875,0.9974365234375
2023/07/21/15:09:17.277119,-0.03759765625,0.0391845703125,-0.0469970703125,0.9974365234375
2023/07/21/15:09:17.287102,-0.03759765625,0.0391845703125,-0.04705810546875,0.9974365234375
2023/07/21/15:09:17.295397,-0.03778076171875,0.0391845703125,-0.04718017578125,0.99737548828125
2023/07/21/15:09:17.306210,-0.0379638671875,0.03924560546875,-0.0472412109375,0.99737548828125
2023/07/21/15:09:17.315695,-0.03826904296875,0.039306640625,-0.04736328125,0.99737548828125
2023/07/21/15:09:17.325997,-0.0384521484375,0.0394287109375,-0.04742431640625,0.99737548828125
2023/07/21/15:09:17.336713,-0.03863525390625,0.03955078125,-0.04742431640625,0.997314453125
2023/07/21/15:09:17.347257,-0.038818359375,0.0396728515625,-0.04742431640625,0.997314453125
2023/07/21/15:09:17.356965,-0.03887939453125,0.03973388671875,-0.04736328125,0.997314453125
2023/07/21/15:09:17.366792,-0.03900146484375,0.0396728515625,-0.04736328125,0.997314453125
2023/07/21/15:09:17.376688,-0.03900146484375,0.03961181640625,-0.04736328125,0.997314453125
2023/07/21/15:09:17.386824,-0.03900146484375,0.0394287109375,-0.04742431640625,0.997314453125
2023/07/21/15:09:17.397336,-0.03900146484375,0.039306640625,-0.0474853515625,0.997314453125
2023/07/21/15:09:17.406515,-0.0390625,0.03924560546875,-0.04754638671875,0.997314453125
2023/07/21/15:09:17.416252,-0.03912353515625,0.0391845703125,-0.047607421875,0.997314453125
2023/07/21/15:09:17.425834,-0.0391845703125,0.0391845703125,-0.04766845703125,0.997314453125
2023/07/21/15:09:17.437129,-0.03924560546875,0.0391845703125,-0.04766845703125,0.997314453125
2023/07/21/15:09:17.446048,-0.039306640625,0.0391845703125,-0.04766845703125,0.997314453125
2023/07/21/15:09:17.457765,-0.039306640625,0.039306640625,-0.04766845703125,0.997314453125
2023/07/21/15:09:17.466986,-0.03936767578125,0.03948974609375,-0.047607421875,0.997314453125
2023/07/21/15:09:17.476804,-0.0394287109375,0.0396728515625,-0.047607421875,0.997314453125
2023/07/21/15:09:17.485793,-0.03948974609375,0.03985595703125,-0.04754638671875,0.997314453125
2023/07/21/15:09:17.496843,-0.03955078125,0.04010009765625,-0.0474853515625,0.99725341796875
2023/07/21/15:09:17.507092,-0.03955078125,0.040283203125,-0.0474853515625,0.99725341796875
2023/07/21/15:09:17.515860,-0.0396728515625,0.04052734375,-0.04736328125,0.99725341796875
2023/07/21/15:09:17.527239,-0.03985595703125,0.0406494140625,-0.0472412109375,0.99725341796875
2023/07/21/15:09:17.536504,-0.04010009765625,0.04071044921875,-0.047119140625,0.99725341796875
2023/07/21/15:09:17.547209,-0.04046630859375,0.0406494140625,-0.04693603515625,0.99725341796875
2023/07/21/15:09:17.556615,-0.0408935546875,0.04058837890625,-0.046875,0.99725341796875
2023/07/21/15:09:17.566776,-0.04119873046875,0.04058837890625,-0.04681396484375,0.99725341796875
2023/07/21/15:09:17.576640,-0.04150390625,0.0406494140625,-0.04681396484375,0.9971923828125
2023/07/21/15:09:17.585887,-0.04168701171875,0.040771484375,-0.04681396484375,0.9971923828125
2023/07/21/15:09:17.595548,-0.0418701171875,0.0408935546875,-0.04681396484375,0.9971923828125
2023/07/21/15:09:17.606942,-0.04217529296875,0.04095458984375,-0.0467529296875,0.9971923828125
2023/07/21/15:09:17.615473,-0.04248046875,0.0408935546875,-0.0467529296875,0.9971923828125
2023/07/21/15:09:17.627010,-0.0428466796875,0.040771484375,-0.04681396484375,0.99713134765625
2023/07/21/15:09:17.637922,-0.04327392578125,0.04058837890625,-0.04693603515625,0.99713134765625
2023/07/21/15:09:17.646817,-0.04364013671875,0.04046630859375,-0.04705810546875,0.99713134765625
2023/07/21/15:09:17.656814,-0.04400634765625,0.04034423828125,-0.04705810546875,0.99713134765625
2023/07/21/15:09:17.665818,-0.04437255859375,0.04022216796875,-0.047119140625,0.9970703125
2023/07/21/15:09:17.675332,-0.04473876953125,0.0400390625,-0.04718017578125,0.9970703125
2023/07/21/15:09:17.686908,-0.045166015625,0.039794921875,-0.0472412109375,0.9970703125
2023/07/21/15:09:17.695490,-0.0455322265625,0.03955078125,-0.04736328125,0.9970703125
2023/07/21/15:09:17.707177,-0.04583740234375,0.0394287109375,-0.0474853515625,0.9970703125
2023/07/21/15:09:17.716140,-0.0460205078125,0.03936767578125,-0.04754638671875,0.99700927734375
2023/07/21/15:09:17.726713,-0.046142578125,0.0394287109375,-0.047607421875,0.99700927734375
2023/07/21/15:09:17.735392,-0.0462646484375,0.03948974609375,-0.047607421875,0.99700927734375
2023/07/21/15:09:17.745714,-0.04638671875,0.03955078125,-0.047607421875,0.99700927734375
2023/07/21/15:09:17.757134,-0.04644775390625,0.03948974609375,-0.04766845703125,0.99700927734375
2023/07/21/15:09:17.765525,-0.04644775390625,0.03948974609375,-0.04766845703125,0.99700927734375
2023/07/21/15:09:17.776605,-0.04638671875,0.0394287109375,-0.047607421875,0.99700927734375
2023/07/21/15:09:17.785937,-0.04632568359375,0.03948974609375,-0.0474853515625,0.99700927734375
2023/07/21/15:09:17.796933,-0.0462646484375,0.03948974609375,-0.04730224609375,0.99700927734375
2023/07/21/15:09:17.805647,-0.0462646484375,0.0394287109375,-0.047119140625,0.99700927734375
2023/07/21/15:09:17.816361,-0.0462646484375,0.03936767578125,-0.04693603515625,0.9970703125
2023/07/21/15:09:17.827495,-0.0462646484375,0.039306640625,-0.04669189453125,0.9970703125
2023/07/21/15:09:17.836472,-0.04620361328125,0.039306640625,-0.0465087890625,0.9970703125
2023/07/21/15:09:17.846699,-0.046142578125,0.03924560546875,-0.0462646484375,0.9970703125
